都府県振興局,観測所番号,種類,観測所名,観測所種別,,手動フラグ
空知,15356,官,岩見沢,1,,1
空知,15431,四,長沼,2,,
空知,15442,四,夕張,2,,
後志,16026,四,美国,2,,
後志,16061,四,神恵内,2,,
後志,16076,四,余市,2,,
後志,16091,官,小樽,1,,1
後志,16156,四,共和,2,,
後志,16206,四,蘭越,2,,
後志,16217,官,倶知安,1,,1
後志,16252,官,寿都,1,,1
後志,16281,四,真狩,2,,
後志,16286,四,喜茂別,2,,
後志,16321,四,黒松内,2,,
網走・北見・紋別,17036,官,雄武,1,,1
網走・北見・紋別,17076,四,興部,2,,
網走・北見・紋別,17091,四,西興部,2,,
網走・北見・紋別,17112,官,紋別,1,,1
網走・北見・紋別,17166,四,湧別,2,,
網走・北見・紋別,17196,四,滝上,2,,
網走・北見・紋別,17246,四,常呂,2,,
網走・北見・紋別,17306,四,遠軽,2,,
網走・北見・紋別,17316,四,佐呂間,2,,
網走・北見・紋別,17341,官,網走,1,,1
網走・北見・紋別,17351,四,宇登呂,2,,
網走・北見・紋別,17482,四,白滝,2,,
網走・北見・紋別,17501,四,生田原,2,,
網走・北見・紋別,17521,四,北見,2,,
網走・北見・紋別,17546,四,小清水,2,,
網走・北見・紋別,17561,四,斜里,2,,
網走・北見・紋別,17596,四,留辺蘂,2,,
網走・北見・紋別,17607,四,境野,2,,
網走・北見・紋別,17631,四,美幌,2,,
網走・北見・紋別,17717,四,津別,2,,
根室,18038,四,羅臼,2,,
根室,18136,四,標津,2,,
根室,18161,四,上標津,2,,
根室,18171,四,中標津,2,,
根室,18256,四,別海,2,,
根室,18273,官,根室,2,,
根室,18281,四,納沙布,2,,
根室,18311,四,厚床,2,,
釧路,19021,四,川湯,2,,
釧路,19051,四,弟子屈,2,,
釧路,19076,四,阿寒湖畔,2,,
釧路,19151,四,標茶,2,,
釧路,19191,四,鶴居,2,,
釧路,19261,四,中徹別,2,,
釧路,19311,四,榊町,2,,
釧路,19376,四,太田,2,,
釧路,19416,四,白糠,2,,
釧路,19432,官,釧路,1,,1
釧路,19451,四,知方学,2,,
十勝,20146,四,陸別,2,,
十勝,20186,四,ぬかびら源泉郷,2,,
十勝,20266,四,上士幌,2,,
十勝,20276,四,足寄,2,,
十勝,20341,四,本別,2,,
十勝,20356,四,新得,2,,
十勝,20361,四,鹿追,2,,
十勝,20371,四,駒場,2,,
十勝,20421,四,芽室,2,,
十勝,20432,官,帯広,1,,1
十勝,20441,四,池田,2,,
十勝,20506,四,浦幌,2,,
十勝,20556,四,糠内,2,,
十勝,20601,四,上札内,2,,
十勝,20606,四,更別,2,,
十勝,20631,四,大津,2,,
十勝,20696,四,大樹,2,,
十勝,20751,官,広尾,1,,1
胆振,21111,四,厚真,2,,
胆振,21126,四,穂別,2,,
胆振,21161,四,大滝,2,,
胆振,21171,四,森野,2,,
胆振,21187,官,苫小牧,1,,1
胆振,21226,四,大岸,2,,
胆振,21261,四,白老,2,,
胆振,21276,四,鵡川,2,,
胆振,21297,四,伊達,2,,
胆振,21312,四,登別,2,,
胆振,21323,官,室蘭,1,,1
日高,22036,四,日高,2,,
日高,22141,四,日高門別,2,,
日高,22156,四,新和,2,,
日高,22241,四,静内,2,,
日高,22291,四,三石,2,,
日高,22306,四,中杵臼,2,,
日高,22327,官,浦河,1,,1
日高,22391,四,えりも岬,2,,
渡島,23031,四,長万部,2,,
渡島,23086,四,八雲,2,,
渡島,23166,四,森,2,,
渡島,23206,四,川汲,2,,
渡島,23226,四,北斗,2,,
渡島,23232,官,函館,1,,1
渡島,23281,官,高松,3,,3
渡島,23326,四,木古内,2,,
渡島,23376,四,松前,2,,
渡島,24141,四,熊石,2,,
檜山,24041,四,せたな,2,,
檜山,24051,四,今金,2,,
檜山,24101,四,奥尻,2,,
檜山,24156,官,米岡,3,,3
檜山,24201,四,鶉,2,,
檜山,24217,官,江差,1,,1
青森,31001,四,大間,2,,
青森,31111,官,むつ,1,,1
青森,31121,四,小田野沢,2,,
青森,31136,四,今別,2,,
青森,31156,四,脇野沢,2,,
青森,31186,四,市浦,2,,
青森,31201,四,蟹田,2,,
青森,31296,四,五所川原,2,,
青森,31312,官,青森,1,,1
青森,31332,四,野辺地,2,,
青森,31336,四,六ケ所,2,,
青森,31366,四,鰺ケ沢,2,,
青森,31386,官,青森大谷,2,,
青森,31436,官,深浦,1,,1
青森,31461,四,弘前,2,,
青森,31466,四,黒石,2,,
青森,31482,四,酸ケ湯,2,,
青森,31506,四,三沢,2,,
青森,31586,四,十和田,2,,
青森,31602,官,八戸,1,,1
青森,31646,四,碇ケ関,2,,
青森,31662,四,休屋,2,,
青森,31721,四,三戸,2,,
秋田,32056,四,八森,2,,
秋田,32111,四,能代,2,,
秋田,32126,四,鷹巣,2,,
秋田,32136,四,大館,2,,
秋田,32146,四,鹿角,2,,
秋田,32181,官,脇神,3,,3
秋田,32206,四,湯瀬,2,,
秋田,32266,四,八幡平,2,,
秋田,32286,四,男鹿,2,,
秋田,32287,四,大潟,2,,
秋田,32296,四,五城目,2,,
秋田,32311,四,阿仁合,2,,
秋田,32402,官,秋田,1,,1
秋田,32407,四,岩見三内,2,,
秋田,32451,官,雄和,3,,3
秋田,32466,四,角館,2,,
秋田,32476,四,田沢湖,2,,
秋田,32496,四,大正寺,2,,
秋田,32551,四,大曲,2,,
秋田,32571,四,本荘,2,,
秋田,32581,四,東由利,2,,
秋田,32596,四,横手,2,,
秋田,32616,四,にかほ,2,,
秋田,32626,四,矢島,2,,
秋田,32691,四,湯沢,2,,
秋田,32771,四,湯の岱,2,,
岩手,33006,四,種市,2,,
岩手,33026,四,軽米,2,,
岩手,33071,四,二戸,2,,
岩手,33136,四,山形,2,,
岩手,33146,四,久慈,2,,
岩手,33166,四,荒屋,2,,
岩手,33176,四,奥中山,2,,
岩手,33186,四,葛巻,2,,
岩手,33206,四,普代,2,,
岩手,33226,四,岩手松尾,2,,
岩手,33296,四,好摩,2,,
岩手,33326,四,岩泉,2,,
岩手,33336,四,小本,2,,
岩手,33371,四,薮川,2,,
岩手,33421,四,雫石,2,,
岩手,33431,官,盛岡,1,,1
岩手,33441,四,区界,2,,
岩手,33472,官,宮古,1,,1
岩手,33501,四,紫波,2,,
岩手,33526,四,川井,2,,
岩手,33576,官,花巻,3,,3
岩手,33581,四,大迫,2,,
岩手,33616,四,山田,2,,
岩手,33631,四,湯田,2,,
岩手,33671,四,遠野,2,,
岩手,33716,四,北上,2,,
岩手,33751,四,釜石,2,,
岩手,33776,四,若柳,2,,
岩手,33781,四,江刺,2,,
岩手,33801,四,住田,2,,
岩手,33877,官,大船渡,1,,1
岩手,33911,四,一関,2,,
岩手,33921,四,千厩,2,,
宮城,34012,四,駒ノ湯,2,,
宮城,34026,四,気仙沼,2,,
宮城,34096,四,川渡,2,,
宮城,34111,四,築館,2,,
宮城,34171,四,米山,2,,
宮城,34186,四,志津川,2,,
宮城,34216,四,古川,2,,
宮城,34266,四,大衡,2,,
宮城,34276,四,鹿島台,2,,
宮城,34292,官,石巻,1,,1
宮城,34296,四,女川,2,,
宮城,34311,四,新川,2,,
宮城,34331,四,塩釜,2,,
宮城,34392,官,仙台,1,,1
宮城,34436,官,名取,3,,3
宮城,34461,四,白石,2,,
宮城,34462,四,蔵王,2,,
宮城,34471,四,亘理,2,,
宮城,34506,四,丸森,2,,
山形,35002,四,飛島,2,,
山形,35052,官,酒田,1,,1
山形,35071,四,差首鍋,2,,
山形,35086,官,浜中,3,,3
山形,35116,四,金山,2,,
山形,35141,四,鶴岡,2,,
山形,35146,四,狩川,2,,
山形,35162,官,新庄,1,,1
山形,35176,四,向町,2,,
山形,35216,四,肘折,2,,
山形,35231,四,尾花沢,2,,
山形,35246,四,鼠ケ関,2,,
山形,35332,四,村山,2,,
山形,35334,官,東根,3,,3
山形,35361,四,大井沢,2,,
山形,35376,四,左沢,2,,
山形,35426,官,山形,1,,1
山形,35456,四,長井,2,,
山形,35486,四,小国,2,,
山形,35511,四,高畠,2,,
山形,35541,四,高峰,2,,
山形,35552,四,米沢,2,,
福島,36056,四,茂庭,2,,
福島,36066,四,梁川,2,,
福島,36106,四,桧原,2,,
福島,36127,官,福島,1,,1
福島,36151,四,相馬,2,,
福島,36176,四,喜多方,2,,
福島,36196,四,鷲倉,2,,
福島,36221,四,飯舘,2,,
福島,36251,四,西会津,2,,
福島,36276,四,猪苗代,2,,
福島,36291,四,二本松,2,,
福島,36342,四,金山,2,,
福島,36361,官,若松,1,,1
福島,36391,四,船引,2,,
福島,36411,四,浪江,2,,
福島,36426,四,只見,2,,
福島,36476,四,郡山,2,,
福島,36501,四,川内,2,,
福島,36536,四,南郷,2,,
福島,36562,四,湯本,2,,
福島,36581,官,玉川,3,,3
福島,36591,四,小野新町,2,,
福島,36611,四,広野,2,,
福島,36641,四,田島,2,,
福島,36667,官,白河,1,,1
福島,36676,四,石川,2,,
福島,36716,四,桧枝岐,2,,
福島,36821,四,東白川,2,,
福島,36836,四,山田,2,,
福島,36846,官,小名浜,1,,1
茨城,40046,四,北茨城,2,,
茨城,40061,四,大子,2,,
茨城,40091,四,常陸大宮,2,,
茨城,40136,四,日立,2,,
茨城,40191,四,笠間,2,,
茨城,40201,官,水戸,1,,1
茨城,40221,四,古河,2,,
茨城,40231,四,下館,2,,
茨城,40281,四,下妻,2,,
茨城,40311,四,鉾田,2,,
茨城,40336,官,つくば,1,,1
茨城,40341,四,土浦,2,,
茨城,40406,四,鹿嶋,2,,
茨城,40426,四,龍ケ崎,2,,
栃木,41011,四,那須高原,2,,
栃木,41076,四,五十里,2,,
栃木,41091,四,黒磯,2,,
栃木,41116,四,土呂部,2,,
栃木,41141,四,大田原,2,,
栃木,41166,官,奥日光,1,,1
栃木,41181,四,塩谷,2,,
栃木,41247,四,那須烏山,2,,
栃木,41271,四,鹿沼,2,,
栃木,41277,官,宇都宮,1,,1
栃木,41331,四,真岡,2,,
栃木,41361,四,佐野,2,,
栃木,41376,四,小山,2,,
群馬,42046,四,藤原,2,,
群馬,42091,四,みなかみ,2,,
群馬,42121,四,草津,2,,
群馬,42146,四,沼田,2,,
群馬,42186,四,中之条,2,,
群馬,42221,四,田代,2,,
群馬,42251,官,前橋,1,,1
群馬,42266,四,桐生,2,,
群馬,42286,四,上里見,2,,
群馬,42302,四,伊勢崎,2,,
群馬,42326,四,西野牧,2,,
群馬,42366,四,館林,2,,
群馬,42396,四,神流,2,,
埼玉,43051,四,寄居,2,,
埼玉,43056,官,熊谷,1,,1
埼玉,43126,四,久喜,2,,
埼玉,43156,官,秩父,1,,1
埼玉,43171,四,鳩山,2,,
埼玉,43241,四,さいたま,2,,
埼玉,43256,四,越谷,2,,
埼玉,43266,四,所沢,2,,
東京,44046,四,小河内,2,,
東京,44056,四,青梅,2,,
東京,44071,四,練馬,2,,
東京,44112,四,八王子,2,,
東京,44116,四,府中,2,,
東京,44132,官,東京,1,,1
東京,44136,四,江戸川臨海,2,,
東京,44166,官,羽田,3,,3
東京,44172,官,大島,1,,1
東京,44173,官,大島北ノ山,2,,
東京,44207,官,新島,2,,
東京,44216,官,神津島,2,,
東京,44226,官,三宅島,1,,1
東京,44228,官,三宅坪田,2,,
東京,44262,官,八重見ヶ原,2,,
東京,44263,官,八丈島,1,,1
東京,44301,官,父島,1,,1
東京,44356,官,南鳥島,1,,1
千葉,45061,四,我孫子,2,,
千葉,45081,四,香取,2,,
千葉,45106,四,船橋,2,,
千葉,45116,四,佐倉,2,,
千葉,45121,官,成田,3,,3
千葉,45148,官,銚子,1,,1
千葉,45181,四,横芝光,2,,
千葉,45212,官,千葉,1,,1
千葉,45261,四,茂原,2,,
千葉,45282,四,木更津,2,,
千葉,45291,四,牛久,2,,
千葉,45326,四,坂畑,2,,
千葉,45361,四,鴨川,2,,
千葉,45371,官,勝浦,1,,1
千葉,45401,官,館山,1,,1
神奈川,46091,四,海老名,2,,
神奈川,46106,官,横浜,1,,1
神奈川,46141,四,辻堂,2,,
神奈川,46166,四,小田原,2,,
神奈川,46211,四,三浦,2,,
長野,48031,四,野沢温泉,2,,
長野,48061,四,信濃町,2,,
長野,48066,四,飯山,2,,
長野,48141,四,白馬,2,,
長野,48156,官,長野,1,,1
長野,48191,四,大町,2,,
長野,48196,四,信州新町,2,,
長野,48216,四,菅平,2,,
長野,48256,四,上田,2,,
長野,48296,四,穂高,2,,
長野,48321,四,東御,2,,
長野,48331,官,軽井沢,1,,1
長野,48361,官,松本,1,,1
長野,48363,官,松本今井,3,,3
長野,48381,四,立科,2,,
長野,48386,四,佐久,2,,
長野,48466,四,奈川,2,,
長野,48491,官,諏訪,1,,1
長野,48531,四,開田高原,2,,
長野,48546,四,辰野,2,,
長野,48561,四,原村,2,,
長野,48571,四,野辺山,2,,
長野,48606,四,木曽福島,2,,
長野,48621,四,伊那,2,,
長野,48717,四,南木曽,2,,
長野,48731,四,飯島,2,,
長野,48767,官,飯田,1,,1
長野,48826,四,浪合,2,,
長野,48841,四,南信濃,2,,
山梨,49036,四,大泉,2,,
山梨,49086,四,韮崎,2,,
山梨,49142,官,甲府,1,,1
山梨,49151,四,勝沼,2,,
山梨,49161,四,大月,2,,
山梨,49196,四,古関,2,,
山梨,49236,四,切石,2,,
山梨,49251,官,河口湖,1,,1
山梨,49256,四,山中,2,,
山梨,49316,四,南部,2,,
静岡,50106,四,井川,2,,
静岡,50136,四,御殿場,2,,
静岡,50196,四,富士,2,,
静岡,50206,官,三島,1,,1
静岡,50226,四,佐久間,2,,
静岡,50241,四,川根本町,2,,
静岡,50261,四,清水,2,,
静岡,50281,官,網代,1,,1
静岡,50331,官,静岡,1,,1
静岡,50386,四,天竜,2,,
静岡,50456,官,浜松,1,,1
静岡,50476,四,菊川牧之原,2,,
静岡,50477,官,静岡空港,3,,3
静岡,50491,四,松崎,2,,
静岡,50506,四,稲取,2,,
静岡,50536,四,磐田,2,,
静岡,50551,官,御前崎,1,,1
静岡,50561,官,石廊崎,1,,1
愛知,51031,四,愛西,2,,
愛知,51071,四,稲武,2,,
愛知,51106,官,名古屋,1,,1
愛知,51116,四,豊田,2,,
愛知,51216,四,大府,2,,
愛知,51226,四,岡崎,2,,
愛知,51247,四,新城,2,,
愛知,51261,官,セントレア,3,,3
愛知,51281,四,蒲郡,2,,
愛知,51311,四,南知多,2,,
愛知,51331,四,豊橋,2,,
愛知,51346,官,伊良湖,1,,1
岐阜,52041,四,河合,2,,
岐阜,52051,四,神岡,2,,
岐阜,52081,四,白川,2,,
岐阜,52111,四,栃尾,2,,
岐阜,52146,官,高山,1,,1
岐阜,52181,四,六厩,2,,
岐阜,52196,四,宮之前,2,,
岐阜,52221,四,長滝,2,,
岐阜,52286,四,萩原,2,,
岐阜,52331,四,八幡,2,,
岐阜,52346,四,宮地,2,,
岐阜,52381,四,樽見,2,,
岐阜,52406,四,金山,2,,
岐阜,52461,四,美濃,2,,
岐阜,52482,四,黒川,2,,
岐阜,52511,四,揖斐川,2,,
岐阜,52536,四,美濃加茂,2,,
岐阜,52556,四,恵那,2,,
岐阜,52557,四,中津川,2,,
岐阜,52571,四,関ケ原,2,,
岐阜,52581,四,大垣,2,,
岐阜,52586,官,岐阜,1,,1
岐阜,52606,四,多治見,2,,
三重,53041,四,桑名,2,,
三重,53061,官,四日市,1,,1
三重,53091,四,亀山,2,,
三重,53112,官,上野,1,,1
三重,53133,官,津,1,,1
三重,53196,四,小俣,2,,
三重,53231,四,粥見,2,,
三重,53257,四,鳥羽,2,,
三重,53296,四,南伊勢,2,,
三重,53326,四,紀伊長島,2,,
三重,53378,官,尾鷲,1,,1
三重,53401,四,熊野新鹿,2,,
新潟,54012,四,粟島,2,,
新潟,54041,四,弾崎,2,,
新潟,54086,四,村上,2,,
新潟,54157,官,相川,1,,1
新潟,54166,四,両津,2,,
新潟,54181,四,中条,2,,
新潟,54191,四,下関,2,,
新潟,54232,官,新潟,1,,1
新潟,54236,官,松浜,3,,3
新潟,54271,四,羽茂,2,,
新潟,54296,四,新津,2,,
新潟,54341,四,巻,2,,
新潟,54387,四,寺泊,2,,
新潟,54396,四,三条,2,,
新潟,54421,四,津川,2,,
新潟,54501,四,長岡,2,,
新潟,54541,四,柏崎,2,,
新潟,54566,四,守門,2,,
新潟,54586,四,大潟,2,,
新潟,54616,四,小出,2,,
新潟,54651,官,高田,1,,1
新潟,54661,四,安塚,2,,
新潟,54676,四,十日町,2,,
新潟,54711,四,糸魚川,2,,
新潟,54721,四,能生,2,,
新潟,54816,四,関山,2,,
新潟,54836,四,津南,2,,
新潟,54841,四,湯沢,2,,
富山,55022,四,朝日,2,,
富山,55041,四,氷見,2,,
富山,55056,四,魚津,2,,
富山,55091,官,伏木,2,,
富山,55102,官,富山,1,,1
富山,55141,四,砺波,2,,
富山,55151,官,秋ヶ島,3,,3
富山,55166,四,上市,2,,
富山,55191,四,南砺高宮,2,,
富山,55206,四,八尾,2,,
石川,56036,四,珠洲,2,,
石川,56052,官,輪島,1,,1
石川,56093,官,三井,3,,3
石川,56116,四,志賀,2,,
石川,56146,四,七尾,2,,
石川,56176,四,羽咋,2,,
石川,56186,四,かほく,2,,
石川,56227,官,金沢,1,,1
石川,56276,四,小松,2,,
石川,56286,四,白山河内,2,,
石川,56301,四,加賀中津原,2,,
福井,57001,四,三国,2,,
福井,57026,官,春江,3,,3
福井,57051,四,越廼,2,,
福井,57066,官,福井,1,,1
福井,57082,四,勝山,2,,
福井,57121,四,大野,2,,
福井,57206,四,今庄,2,,
福井,57248,官,敦賀,1,,1
福井,57286,四,美浜,2,,
福井,57317,四,小浜,2,,
滋賀,60051,四,今津,2,,
滋賀,60061,四,長浜,2,,
滋賀,60102,四,米原,2,,
滋賀,60116,四,南小松,2,,
滋賀,60131,官,彦根,1,,1
滋賀,60196,四,東近江,2,,
滋賀,60216,四,大津,2,,
滋賀,60226,四,信楽,2,,
滋賀,60236,四,土山,2,,
京都,61001,四,間人,2,,
京都,61076,四,宮津,2,,
京都,61111,官,舞鶴,1,,1
京都,61187,四,福知山,2,,
京都,61206,四,美山,2,,
京都,61242,四,園部,2,,
京都,61286,官,京都,1,,1
京都,61326,四,京田辺,2,,
大阪,62016,四,能勢,2,,
大阪,62046,四,枚方,2,,
大阪,62051,官,豊中,2,,
大阪,62078,官,大阪,1,,1
大阪,62081,四,生駒山,2,,
大阪,62091,四,堺,2,,
大阪,62096,官,八尾,3,,3
大阪,62101,官,関空島,3,,3
大阪,62131,四,熊取,2,,
兵庫,63016,四,香住,2,,
兵庫,63051,官,豊岡,1,,1
兵庫,63071,四,兎和野高原,2,,
兵庫,63121,四,和田山,2,,
兵庫,63201,四,生野,2,,
兵庫,63216,四,柏原,2,,
兵庫,63251,四,一宮,2,,
兵庫,63321,四,福崎,2,,
兵庫,63331,四,西脇,2,,
兵庫,63366,四,上郡,2,,
兵庫,63383,官,姫路,1,,1
兵庫,63411,四,三田,2,,
兵庫,63461,四,三木,2,,
兵庫,63491,四,家島,2,,
兵庫,63496,四,明石,2,,
兵庫,63517,官,神戸空港,3,,3
兵庫,63518,官,神戸,1,,1
兵庫,63551,四,郡家,2,,
兵庫,63571,官,洲本,1,,1
兵庫,63588,四,南淡,2,,
奈良,64036,官,奈良,1,,1
奈良,64041,四,針,2,,
奈良,64101,四,大宇陀,2,,
奈良,64127,四,五條,2,,
奈良,64206,四,上北山,2,,
奈良,64227,四,風屋,2,,
和歌山,65026,四,かつらぎ,2,,
和歌山,65036,四,友ケ島,2,,
和歌山,65042,官,和歌山,1,,1
和歌山,65061,四,高野山,2,,
和歌山,65121,四,清水,2,,
和歌山,65162,四,龍神,2,,
和歌山,65201,四,川辺,2,,
和歌山,65256,四,栗栖川,2,,
和歌山,65276,四,新宮,2,,
和歌山,65288,官,南紀白浜,3,,3
和歌山,65306,四,西川,2,,
和歌山,65356,官,潮岬,1,,1
岡山,66046,四,上長田,2,,
岡山,66091,四,千屋,2,,
岡山,66127,四,奈義,2,,
岡山,66136,四,今岡,2,,
岡山,66171,四,久世,2,,
岡山,66186,官,津山,1,,1
岡山,66221,四,新見,2,,
岡山,66296,四,福渡,2,,
岡山,66306,四,和気,2,,
岡山,66336,四,高梁,2,,
岡山,66346,官,日応寺,3,,3
岡山,66408,官,岡山,1,,1
岡山,66421,四,虫明,2,,
岡山,66446,四,倉敷,2,,
岡山,66481,四,笠岡,2,,
岡山,66501,四,玉野,2,,
広島,67016,四,高野,2,,
広島,67106,四,三次,2,,
広島,67116,四,庄原,2,,
広島,67151,四,大朝,2,,
広島,67191,四,油木,2,,
広島,67212,四,加計,2,,
広島,67292,四,三入,2,,
広島,67316,四,世羅,2,,
広島,67326,四,府中,2,,
広島,67376,四,東広島,2,,
広島,67386,官,本郷,3,,3
広島,67401,官,福山,1,,1
広島,67421,四,廿日市津田,2,,
広島,67437,官,広島,1,,1
広島,67461,四,竹原,2,,
広島,67471,四,生口島,2,,
広島,67496,四,大竹,2,,
広島,67511,官,呉,1,,1
広島,67576,四,呉市蒲刈,2,,
島根,68022,官,西郷,1,,1
島根,68046,官,西郷岬,3,,3
島根,68056,四,海士,2,,
島根,68091,四,鹿島,2,,
島根,68121,官,斐川,3,,3
島根,68132,官,松江,1,,1
島根,68156,四,出雲,2,,
島根,68246,四,大田,2,,
島根,68261,四,掛合,2,,
島根,68276,四,横田,2,,
島根,68306,四,赤名,2,,
島根,68351,四,川本,2,,
島根,68376,官,浜田,1,,1
島根,68401,四,瑞穂,2,,
島根,68431,四,弥栄,2,,
島根,68456,官,高津,3,,3
島根,68462,四,益田,2,,
島根,68516,四,津和野,2,,
島根,68541,四,吉賀,2,,
鳥取,69006,官,境,1,,1
鳥取,69021,四,塩津,2,,
鳥取,69041,四,青谷,2,,
鳥取,69052,官,湖山,3,,3
鳥取,69061,四,岩井,2,,
鳥取,69076,官,米子,1,,1
鳥取,69101,四,倉吉,2,,
鳥取,69122,官,鳥取,1,,1
鳥取,69246,四,智頭,2,,
鳥取,69271,四,茶屋,2,,
徳島,71066,四,池田,2,,
徳島,71087,四,穴吹,2,,
徳島,71106,官,徳島,1,,1
徳島,71191,四,京上,2,,
徳島,71231,四,蒲生田,2,,
徳島,71251,四,木頭,2,,
徳島,71266,四,日和佐,2,,
徳島,71291,四,海陽,2,,
香川,72061,四,内海,2,,
香川,72086,官,高松,1,,1
香川,72111,官,多度津,1,,1
香川,72121,四,滝宮,2,,
香川,72126,官,香南,3,,3
香川,72146,四,引田,2,,
香川,72161,四,財田,2,,
愛媛,73001,四,大三島,2,,
愛媛,73076,四,今治,2,,
愛媛,73126,四,西条,2,,
愛媛,73151,四,四国中央,2,,
愛媛,73166,官,松山,1,,1
愛媛,73168,官,松山南吉田,3,,3
愛媛,73256,四,長浜,2,,
愛媛,73276,四,久万,2,,
愛媛,73306,四,大洲,2,,
愛媛,73341,四,瀬戸,2,,
愛媛,73406,四,宇和,2,,
愛媛,73442,官,宇和島,1,,1
愛媛,73446,四,近永,2,,
愛媛,73516,四,御荘,2,,
高知,74056,四,本川,2,,
高知,74071,四,本山,2,,
高知,74136,四,大栃,2,,
高知,74182,官,高知,1,,1
高知,74187,四,後免,2,,
高知,74188,官,南国日章,3,,3
高知,74271,四,安芸,2,,
高知,74296,四,梼原,2,,
高知,74311,四,須崎,2,,
高知,74361,四,窪川,2,,
高知,74372,官,室戸岬,1,,1
高知,74381,四,江川崎,2,,
高知,74436,四,佐賀,2,,
高知,74447,官,宿毛,1,,1
高知,74456,四,中村,2,,
高知,74516,官,清水,1,,1
山口,81011,四,須佐,2,,
山口,81071,官,萩,1,,1
山口,81116,四,油谷,2,,
山口,81151,四,徳佐,2,,
山口,81196,四,秋吉台,2,,
山口,81231,四,広瀬,2,,
山口,81266,四,豊田,2,,
山口,81286,官,山口,1,,1
山口,81321,四,岩国,2,,
山口,81371,四,防府,2,,
山口,81386,四,下松,2,,
山口,81397,四,玖珂,2,,
山口,81428,官,下関,1,,1
山口,81436,官,宇部,3,,3
山口,81481,四,柳井,2,,
山口,81486,四,安下庄,2,,
福岡,82046,四,宗像,2,,
福岡,82056,四,八幡,2,,
福岡,82068,官,空港北町,3,,3
福岡,82101,四,行橋,2,,
福岡,82136,官,飯塚,1,,1
福岡,82171,四,前原,2,,
福岡,82182,官,福岡,1,,1
福岡,82186,官,博多,3,,3
福岡,82191,四,太宰府,2,,
福岡,82206,四,添田,2,,
福岡,82261,四,朝倉,2,,
福岡,82306,四,久留米,2,,
福岡,82317,四,黒木,2,,
福岡,82361,四,大牟田,2,,
大分,83021,四,国見,2,,
大分,83051,四,中津,2,,
大分,83061,四,豊後高田,2,,
大分,83106,四,院内,2,,
大分,83121,四,杵築,2,,
大分,83126,官,武蔵,3,,3
大分,83137,官,日田,1,,1
大分,83191,四,玖珠,2,,
大分,83201,四,湯布院,2,,
大分,83216,官,大分,1,,1
大分,83341,四,犬飼,2,,
大分,83371,四,竹田,2,,
大分,83401,四,佐伯,2,,
大分,83431,四,宇目,2,,
大分,83476,四,蒲江,2,,
長崎,84012,四,鰐浦,2,,
長崎,84072,官,厳原,1,,1
長崎,84076,官,美津島,3,,3
長崎,84121,四,芦辺,2,,
長崎,84122,官,石田,3,,3
長崎,84171,官,平戸,1,,1
長崎,84183,四,松浦,2,,
長崎,84266,官,佐世保,1,,1
長崎,84341,四,有川,2,,
長崎,84371,官,大村,3,,3
長崎,84496,官,長崎,1,,1
長崎,84519,官,雲仙岳,1,,1
長崎,84523,四,島原,2,,
長崎,84536,官,福江,1,,1
長崎,84537,官,上大津,3,,3
長崎,84561,四,口之津,2,,
佐賀,85033,四,唐津,2,,
佐賀,85116,四,伊万里,2,,
佐賀,85142,官,佐賀,1,,1
